,ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
2147,Swahili_language,"How many years ago was it when the rulers of Zanzibar organized trading expeditions into the interior of the mainland , up to the various lakes in the continent `s Great Rift Valley?",,,
2148,Swahili_language,What is Swahili language`s first name?,,,
2149,Swahili_language,Where did Swahili language die?,,,
2150,Swahili_language,Has swahili no diphthongs?,No,,easy
2151,Swahili_language,Is a third  prefix the object  prefix?,Yes,,easy
2153,Swahili_language,Swahili unusual?,,,
2154,Swahili_language,Where does swahili grammar arrange nouns?,,,
2155,Swahili_language,What was the only good candidate in these two colonies?,,,
2156,Swahili_language,Do some writers mark aspirated consonants?,,,
2157,Swahili_language,Was one key step in spreading Swahili to create a standard written language?,,,
2158,Swahili_language,Are there today more speakers in Kenya of the Somali coast?,,,
2159,Swahili_language,Is      / ref Swahili unusual among sub-Saharan languages?,Yes,,easy
2160,Swahili_language,The pronunciation of the phoneme / u / stands between what?,,,
2161,Swahili_language,"Are vowels never reduced , regardless of stress ?",Yes,,easy
2162,Swan,Does the Australian Black Swan have white feathers on its wings?,yes,easy,medium
2163,Swan,Does the Australian Black Swan have white feathers on its wings?,Yes,easy,medium
2164,Swan,Do swans belong to the family Anatidae?,yes,easy,easy
2165,Swan,Do swans belong to the family Anatidae?,Yes,easy,easy
2167,Swan,Can black swans swim with only one leg?,Yes,easy,medium
2168,Swan,What are young swans known as?,cygnets,medium,medium
2169,Swan,What are young swans known as?,Cygnets,medium,easy
2170,Swan,What is the Irish legend of the Children of Lir about?,a stepmother transforming her children into swans for 900 years,medium,medium
2171,Swan,What is the Irish legend of the Children of Lir about?,A stepmother transforming her children into swans for 900 years,medium,medium
2172,Swan,What is the Sanskrit word for swan?,hamsa or hansa,medium,medium
2173,Swan,What is the Sanskrit word for swan?,Hamsa or hansa,medium,easy
2174,Swan,"Which album was the song ""The Bonny Swans"" from?",The Mask and Mirror,hard,medium
2175,Swan,"Which album was the song ""The Bonny Swans"" from?",The Mask and Mirror,hard,easy
2176,Swan,What is the Polish word for swan?,&#321;ab&#281;d&#378;,hard,hard
2177,Swan,What is the Polish word for swan?,Łabędź,hard,easy
2178,Swan,Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about a princess who was turned into a swan?,Swan Lake,hard,hard
2179,Swan,Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about a princess who was turned into a swan?,Swan Lake,hard,hard
2180,Swan,Are swan birds of the family Anatidae?,Yes.,easy,easy
2181,Swan,Are swan birds of the family Anatidae?,Yes,easy,easy
2182,Swan,Do swans feature strongly in mythology?,Yes.,easy,easy
2183,Swan,Do swans feature strongly in mythology?,Yes,easy,easy
2184,Swan,Is the Trumpeter Swan the largest bird?,It is the largest bird of North America.,easy,easy
2185,Swan,Is the Trumpeter Swan the largest bird?,The Trumpeter Swan is the largest bird of North America,easy,medium
2186,Swan,What is the name of young swans?,Cygnets.,medium,medium
2188,Swan,"Where is the word ""swan"" derived from?",Old English swan.,medium,medium
2189,Swan,"Where is the word ""swan"" derived from?","The Old English word ""swan,"" derived from the Indo-European root ""*swen"", meaning to sound or to sing",medium,medium
2190,Swan,What is the best known story about a swan?,The Ugly Duckling fable.,medium,medium
2191,Swan,What is the best known story about a swan?,The Ugly Duckling,medium,medium
2192,Swan,Are swans and ducks birds of the same family?,Yes.,hard,hard
2193,Swan,Are swans and ducks birds of the same family?,Yes,hard,easy
2194,Swan,What is the name of an adult female?,Pen.,hard,medium
2195,Swan,What is the name of an adult female?,An adult female swan is called a pen.,hard,medium
2196,Swan,What is the color of the Australian Black Swan?,Completely black except for the white flight feathers on its wings.,hard,hard
2198,Tiger,Is the Tiger a member of the Felidar family?,No.,easy,easy
2199,Tiger,Is the Tiger a member of the Felidar family?,No,easy,easy
2200,Tiger,Are tigers solitary animals?,Yes.,easy,easy
2201,Tiger,Are tigers solitary animals?,Yes,easy,easy
2202,Tiger,Are panthers a type of tiger?,No.,easy,hard
2203,Tiger,Are panthers a type of tiger?,No,easy,hard
2204,Tiger,What do tigers' powerfully built legs and shoulders allow tigers to do?,They have the ability to pull down prey substantially heavier than themselves.,medium,medium
2205,Tiger,What do tigers' powerfully built legs and shoulders allow tigers to do?,have the ability to pull down prey substantially heavier than themselves,medium,medium
2206,Tiger,What would a tiger do when seized by a crocodile?,A tiger will strike at the reptile's eyes with its paws.,medium,medium
2207,Tiger,What would a tiger do when seized by a crocodile?,strike at the reptile's eyes with its paws,medium,medium
2208,Tiger,What are the typical features of a tiger country?,"It will always have good cover, it will always be close to water and plenty of prey.",medium,medium
2209,Tiger,What are the typical features of a tiger country?,"Good cover, close to water, and plenty of prey ",medium,medium
2210,Tiger,Would it be common for tigers to mate in January?,Yes.,hard,hard
2212,Tiger,About how many square kilometers would be needed to house 3 female tigers?,60 square kilometers,hard,hard
2213,Tiger,About how many square kilometers would be needed to house 3 female tigers?,60,hard,hard
2214,Tiger,"Would a tiger be likely to feedon smaller animals, such as mice?",Yes,hard,hard
2215,Trumpet,Did the predecessors to trumpets have valves?,No,easy,easy
2216,Trumpet,Are trumpets constructed of brass?,Yes,easy,easy
2217,Trumpet,Is the bass trumpet the smallest trumpet?,No,easy,hard
2218,Trumpet,What musical styles is the trumpet used in?,"Ska, ska punk, classical, jazz, Rock, Blues, pop, polka, cuban music, mariachi and funk.",medium,medium
2219,Trumpet,What is the most common type of trumpet?,The B trumpet.,medium,medium
2220,Trumpet,How does a trumpet produce sound?,By blowing air through closed lips.,medium,medium
2221,Trumpet,How do trumpets compensate for wolf tones?,Somce trumpetes have a slide mechanism built in to compensate.,hard,hard
2222,Trumpet,Did Miles Davis play the trumpet?,Yes,hard,hard
2224,Turtle,Is the name of the upper shell of a turtle called the plastron?,No.,easy,hard
2225,Turtle,Do scutes fall away from the turtle's shell?,Some of the scutes eventually fall away from the shell.,easy,hard
2226,Turtle,Do scutes fall away from the turtle's shell?,"yes, eventually",easy,easy
2227,Turtle,Do Terrestrial tortoises have short feet?,Yes.,easy,easy
2228,Turtle,Do Terrestrial tortoises have short feet?,yes,easy,easy
2229,Turtle,How many groups are turtles broken down into?,Two,medium,medium
2230,Turtle,How many groups are turtles broken down into?,two,medium,easy
2231,Turtle,Where are the only surviving giant tortoises?,They are on the Seychelles and Galápagos Islands.,medium,medium
2232,Turtle,Where are the only surviving giant tortoises?,Seychelles and Gal�pagos Islands,medium,easy
2233,Turtle,How do turtles chew food?,Turtles use their jaws to cut and chew food.,medium,medium
2234,Turtle,How do turtles chew food?,Turtles use their jaws to cut and chew food,medium,easy
2235,Turtle,Are tortoises land based?,Yes.,hard,easy
2237,Turtle,Where are turtle eggs layed?,Turtles lay eggs on land.,hard,hard
2238,Turtle,Where are turtle eggs layed?,on land,hard,easy
2239,Turtle,Is turtle soup considered a delicacy?,No.,hard,easy
2241,Turtle,Are Testudines the crown group of the superorder Chelonia?,yes,easy,easy
2242,Turtle,Are Testudines the crown group of the superorder Chelonia?,Yes,easy,easy
2243,Turtle,Do turtles breathe air?,yes,easy,hard
2244,Turtle,Do turtles breathe air?,Yes,easy,easy
2245,Turtle,Are harvesting wild turtles legal anywhere?,yes,easy,easy
2246,Turtle,Approximately how many species of Testudines are alive today?,300,medium,medium
2247,Turtle,Approximately how many species of Testudines are alive today?,300,medium,easy
2248,Turtle,Where is harvesting wild turtles legal?,Florida,medium,easy
2249,Turtle,Where is harvesting wild turtles legal?,Florida,medium,easy
2250,Turtle,What was the largest ever chelonian?,Archelon ischyros,medium,easy
2251,Turtle,What was the largest ever chelonian?,The great letherback sea tutrtle,medium,easy
2252,Turtle,Is there a way to approximate the age of a turtle?,yes,hard,easy
2254,Turtle,Can turtles spend all their time underwater?,no,hard,too hard
2255,Turtle,Can turtles spend all their time underwater?,No,hard,easy
2256,Violin,Are violinists and fiddlers the same thing?,Yes,easy,easy
2257,Violin,Are violinists and fiddlers the same thing?,Yes,easy,easy
2258,Violin,Are violins a single size?,no,easy,hard
2259,Violin,Are violins a single size?,No,easy,hard
2260,Violin,Are violas and cellos in the same family of instruments as violins?,yes,easy,easy
2261,Violin,Are violas and cellos in the same family of instruments as violins?,Yes,easy,easy
2262,Violin,"Where does the word ""violin"" come from?","the Middle Latin word vitula, meaning ""stringed instrument""",medium,medium
2263,Violin,"Where does the word ""violin"" come from?",the Middle Latin word vitula,medium,medium
2264,Violin,What is someone who makes violins called?,"a luthier, or simply a violin maker",medium,medium
2265,Violin,What is someone who makes violins called?,a luthier,medium,medium
2266,Violin,How many strings does a violin usually have?,four,medium,medium
2267,Violin,How many strings does a violin usually have?,4,medium,medium
2270,Violin,How long have people been making instruments like violins?,since ancient times,hard,hard
2271,Violin,How long have people been making instruments like violins?,since 1555,hard,hard
2272,Violin,Whate is the usual pitch range of a violin?,from G3 to C8,hard,hard
2273,Violin,Whate is the usual pitch range of a violin?,from G3 to C8,hard,hard
2274,Xylophone,Are xylophone bars made of rosewood?,yes,easy,easy
2275,Xylophone,Is the xylophone a precursor to the vibraphone?,yes,easy,easy
2277,Xylophone,Where did the xylophone originate?,Indonesia,medium,medium
2278,Xylophone,What is the earliest historical reference in Europe?,Arnold Schlick's Spiegel der Orgelmacher und Organisten,medium,medium
2279,Xylophone,How are western-style xylophones characterised?,"by a bright, sharp tone and high register",medium,medium
2280,Xylophone,Can a xylophone be 3 octaves?,yes,hard,hard
2281,Xylophone,Can a short bar follow a long bar?,no,hard,hard
2282,Xylophone,Did vibraphones exist in 1930?,yes,hard,hard
2283,Abraham_Lincoln,Was Abraham Lincoln the sixteenth President of the United States?,yes,easy,easy
2284,Abraham_Lincoln,Was Abraham Lincoln the sixteenth President of the United States?,Yes.,easy,easy
2286,Abraham_Lincoln,Did Lincoln sign the National Banking Act of 1863?,Yes.,easy,easy
2287,Abraham_Lincoln,Did his mother die of pneumonia?,no,easy,medium
2288,Abraham_Lincoln,Did his mother die of pneumonia?,No.,easy,easy
2289,Abraham_Lincoln,How many long was Lincoln's formal education?,18 months,medium,easy
2290,Abraham_Lincoln,How many long was Lincoln's formal education?,18 months.,medium,medium
2291,Abraham_Lincoln,When did Lincoln begin his political career?,1832,medium,easy
2292,Abraham_Lincoln,When did Lincoln begin his political career?,1832.,medium,medium
2293,Abraham_Lincoln,What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history",medium,easy
2294,Abraham_Lincoln,What did The Legal Tender Act of 1862 establish?,"The United States Note, the first paper currency in United States history.",medium,medium
2295,Abraham_Lincoln,Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,hard,medium
2296,Abraham_Lincoln,Who suggested Lincoln grow a beard?,Grace Bedell.,hard,medium
2297,Abraham_Lincoln,When did the Gettysburg address argue that America was born?,1776,hard,hard
2298,Abraham_Lincoln,When did the Gettysburg address argue that America was born?,1776.,hard,hard
2299,Abraham_Lincoln,Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,hard,medium
2300,Abraham_Lincoln,Did Lincoln beat John C. Breckinridge in the 1860 election?,Yes.,hard,hard
2301,Abraham_Lincoln,Was Abraham Lincoln the first President of the United States?,No,easy,easy
2302,Abraham_Lincoln,Was Abraham Lincoln the first President of the United States?,No,easy,medium
2303,Abraham_Lincoln,Did Lincoln start his political career in 1832?,Yes,easy,easy
2304,Abraham_Lincoln,Did Lincoln start his political career in 1832?,Yes,easy,easy
2305,Abraham_Lincoln,Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,easy,easy
2306,Abraham_Lincoln,Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,easy,easy
2307,Abraham_Lincoln,Which county was Lincoln born in?,Hardin County,medium,medium
2308,Abraham_Lincoln,Which county was Lincoln born in?,"Southeast Hardin County, Kentucky",medium,medium
2309,Abraham_Lincoln,When did Lincoln first serve as President?,"March 4, 1861",medium,hard
2310,Abraham_Lincoln,When did Lincoln first serve as President?,"March 4, 1861",medium,medium
2312,Abraham_Lincoln,Who assassinated Lincoln?,John Wilkes Booth,medium,hard
2313,Abraham_Lincoln,Did Lincoln win the election of 1860?,Yes,hard,hard
2314,Abraham_Lincoln,Did Lincoln win the election of 1860?,Yes,hard,too hard
2315,Abraham_Lincoln,Who was the general in charge at the Battle of Antietam?,General McClellan,hard,medium
2316,Abraham_Lincoln,Who was the general in charge at the Battle of Antietam?,John Alexander McClernand,hard,medium
2318,Abraham_Lincoln,Why did Lincoln issue the Emancipation Proclamation?,"The goal was to weaken the rebellion, which was led and controlled by slave owners.",hard,hard
2319,Abraham_Lincoln,Do scholars rank lincoln among the top three presidents?,,easy,
2320,Abraham_Lincoln,Do scholars rank lincoln among the top three presidents?,Yes,easy,easy
2322,Abraham_Lincoln,Did lincoln have 18 months of schooling?,Yes,easy,easy
2323,Abraham_Lincoln,Was Lincoln chosen as a presidential candidate in 1860?,,easy,
2324,Abraham_Lincoln,Was Lincoln chosen as a presidential candidate in 1860?,Yes,easy,easy
2325,Abraham_Lincoln,How old was Lincoln in 1816?,,medium,
2326,Abraham_Lincoln,How old was Lincoln in 1816?,seven,medium,medium
2327,Abraham_Lincoln,When was the first photgraph of lincoln taken?,,medium,
2329,Abraham_Lincoln,How long was Lincoln's legal Career?,,medium,
2330,Abraham_Lincoln,How long was Lincoln's legal Career?,23 years,medium,medium
2331,Abraham_Lincoln,What trail did Lincoln use a Farmers' Almanac in? ,,hard,
2332,Abraham_Lincoln,What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong",hard,hard
2333,Abraham_Lincoln,Did Abraham Lincoln live in the Frontier?,,hard,
2334,Abraham_Lincoln,Did Abraham Lincoln live in the Frontier?,Yes,hard,medium
2335,Abraham_Lincoln,Did Lincoln's Wife's Family support slavery?,,hard,
2336,Abraham_Lincoln,Did Lincoln's Wife's Family support slavery?,Yes,hard,medium
2338,Alessandro_Volta,What ac phaenomenis inde pendentibus?,,,
2339,Alessandro_Volta,What may be called Volta's Law of the electrochemical series?,,,
2340,Alessandro_Volta,Is it true that volta became professor of physics?,,,
2341,Alessandro_Volta,Is it true that volta entered retirement in spain?,,,
2342,Alessandro_Volta,When did he become professor?,,,
2343,Alessandro_Volta,What did Alessandro Volta publish in 1800?,,,
2344,Alessandro_Volta,Is Volta buried in the city of Como?,,,
2345,Alessandro_Volta,Is the electrolyte sulphuric acid?,,,
2346,Alessandro_Volta,,,,
2347,Alessandro_Volta,,,,
2348,Alessandro_Volta,,,,
2349,Alessandro_Volta,NOTTTT  FOUND,,,
2350,Alessandro_Volta,,,,
2351,Alessandro_Volta,,,,
2352,Alessandro_Volta,Are Count Volta 's original instruments and papers on display there ?,,,
2353,Alessandro_Volta,Is Volta buried in the city of Como ?,,,
2354,Alessandro_Volta,Was his 1800 paper written in French ?,,,
2355,Alessandro_Volta,Are Count Volta 's original instruments and papers on display there ?,,,
2356,Alessandro_Volta,Did he not realize that the frog 's leg served as both a conductor of electricity -LRB- we would now call it an electrolyte -RRB- and as a detector of electricity ?,,,
2357,Alessandro_Volta,Does this not make the zinc rod the negative electrode and the copper rod the positive electrode ?,,,
2358,Alessandro_Volta,What happened with $ its invention?,,,
2359,Alessandro_Volta,HWhat happened at the electromotive force -LRB- emf -RRB- of a galvanic cell?,,,
2360,Alessandro_Volta,What happened in 1800?,,,
2361,Amedeo_Avogadro,What was an Italian savant?,,,
2362,Amedeo_Avogadro,What was an Italian savant?,,,
2363,Amedeo_Avogadro,Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,,medium
2364,Amedeo_Avogadro,Who is most noted for his contributions to the theory of molarity and molecular weight?,,,
2365,Amedeo_Avogadro,Who is most noted for his contributions to the theory of molarity and molecular weight?,,,
2366,Amedeo_Avogadro,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro,,medium
2367,Amedeo_Avogadro,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,blah,,easy
2368,Amedeo_Avogadro,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,,,
2369,Amedeo_Avogadro,When did he publish another memoria?,1821,,medium
2370,Amedeo_Avogadro,When did he publish another memoria?,,,
2371,Amedeo_Avogadro,When did he publish another memoria?,,,
2372,Amedeo_Avogadro,When did he become a professor?,1820,,medium
2373,Amedeo_Avogadro,When did he become a professor?,,,
2374,Amedeo_Avogadro,When did he become a professor?,,,
2375,Amedeo_Avogadro,Is it true that he became a professor in 1820?,yes,,easy
2376,Amedeo_Avogadro,Is it true that he became a professor in 1820?,,,
2379,Amedeo_Avogadro,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,,,
2380,Amedeo_Avogadro,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,,,
2381,Amedeo_Avogadro,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,,easy
2382,Amedeo_Avogadro,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",,,
2383,Amedeo_Avogadro,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",,,
2384,Amedeo_Avogadro,Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,,easy
2385,Amedeo_Avogadro,Is he most noted for his contributions to the theory of molarity and molecular weight?,,,
2386,Amedeo_Avogadro,Is he most noted for his contributions to the theory of molarity and molecular weight?,,,
2388,Amedeo_Avogadro,,,,
2389,Amedeo_Avogadro,,,,
2390,Amedeo_Avogadro,,,,
2392,Amedeo_Avogadro,,,,
2393,Amedeo_Avogadro,"Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?",,,
2394,Amedeo_Avogadro,"Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?",,,
2395,Amedeo_Avogadro,He is what?,,,
2396,Amedeo_Avogadro,He is what?,,,
2397,Amedeo_Avogadro,The unification of Italy did what?,,,
2398,Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,,easy
2399,Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,,,
2401,Amedeo_Avogadro,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes,,easy
2402,Amedeo_Avogadro,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,,,
2403,Amedeo_Avogadro,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,,,
2404,Amedeo_Avogadro,Is it approximately 6.0221415 10 23 ?,,,
2405,Amedeo_Avogadro,Is it approximately 6.0221415 10 23 ?,,,
2406,Amedeo_Avogadro,Did the scientific community not reserve great attention to his theory ?,yes,,easy
2407,Amedeo_Avogadro,Did the scientific community not reserve great attention to his theory ?,,,
2408,Amedeo_Avogadro,Did the scientific community not reserve great attention to his theory ?,,,
2409,Amedeo_Avogadro,Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?,,,
2410,Amedeo_Avogadro,Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?,,,
2411,Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,,easy
2412,Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,,,
2413,Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,,,
2414,Amedeo_Avogadro,Can the title of this famous 1811 paper be roughly translated into english?,yes,,easy
2415,Amedeo_Avogadro,Can the title of this famous 1811 paper be roughly translated into english?,,,
2416,Amedeo_Avogadro,Can the title of this famous 1811 paper be roughly translated into english?,,,
2417,Amedeo_Avogadro,What happened in french?,,,
2418,Amedeo_Avogadro,What happened in french?,,,hard
2419,Amedeo_Avogadro,What happened in 1833?,Avogadro had been recalled to Turin university,,medium
2420,Amedeo_Avogadro,What happened in 1833?,,,
2421,Amedeo_Avogadro,What happened in 1833?,blah blah blah,,hard
2422,Anders_Celsius,Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,,medium
2423,Anders_Celsius,What is named after him?,The Celsius crater on the Moon,,medium
2424,Anders_Celsius,When did he publish a collection?,1733,,easy
2425,Anders_Celsius,Is it true that he published a collection in 1738?,No,,easy
2426,Anders_Celsius,Is it true that thermometer had 100 for the freezing point?,Yes,,easy
2427,Anders_Celsius,Was Celsius born in Uppsala in Sweden?,Yes,,easy
2428,Anders_Celsius,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes,,easy
2429,Anders_Celsius,Is The Celsius crater on the Moon named after him?,Yes,,easy
2430,Anders_Celsius,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,,medium
2431,Anders_Celsius,The Celsius crater on the Moon is what?,named after him,,medium
2432,Anders_Celsius,Is the Celsius crater on the Moon named after him ?,Yes,,easy
2433,Anders_Celsius,Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had,,easy
2434,Anders_Celsius,Was Celsius born in Uppsala in Sweden ?,Yes,,easy
2435,Anders_Celsius,Is the Celsius crater on the Moon named after him ?,Yes,,easy
2436,Anders_Celsius,Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did,,easy
2437,Anders_Celsius,What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University,,easy
2438,Anders_Celsius,What happened in 1745?,The scale was reversed,,medium
2439,beetle,Are beetles insects?,Yes,easy,easy
2440,beetle,Are beetles insects?,Yes,easy,easy
2441,beetle,Can beetles be found in polar regions?,No,easy,hard
2442,beetle,Can beetles be found in polar regions?,No,easy,easy
2443,beetle,Do beetles antennae function primarily as organs of smell?,Yes,easy,easy
2445,beetle,What are the three sections of a beetle?,"the head, the thorax, and the abdomen",medium,medium
2446,beetle,What are the three sections of a beetle?,"The head, the thorax, and the abdomen",medium,medium
2447,beetle,Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,medium,easy
2448,beetle,Which defense mechanism uses colour or shape to deceive potential enemies?,Mimicry,medium,medium
2449,beetle,Which type of beetle is a pest of potato plants?,Colorado potato beetle,medium,easy
2450,beetle,Which type of beetle is a pest of potato plants?,Colorado potato beetle,medium,medium
2451,beetle,How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",hard,medium
2453,beetle,What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",hard,hard
2454,beetle,What do beetles eat?,"They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates",hard,hard
2455,beetle,What are the similarities between beetles and grasshoppers?,mouthparts,hard,medium
2456,beetle,What are the similarities between beetles and grasshoppers?,Beetles have mouthparts similar to those of grasshoppers,hard,hard
2457,beetle,Are certain species of beetles considered pests?,Yes,easy,easy
2458,beetle,Are certain species of beetles considered pests?,yes,easy,easy
2459,beetle,Is a beetle's general anatomy uniform?,Yes,easy,medium
2460,beetle,Is a beetle's general anatomy uniform?,yes,easy,easy
2461,beetle,Are beetles endopterygotes?,yes,easy,easy
2462,beetle,Are beetles endopterygotes?,yes,easy,easy
2463,beetle,How many species of beetles are there?,"350,000",medium,medium
2464,beetle,How many species of beetles are there?,"about 350,000",medium,medium
2465,beetle,When are sperm cells transferred to the female?,during pairing,medium,hard
2466,beetle,When are sperm cells transferred to the female?,During pairing,medium,medium
2467,beetle,What is the study of beetles called?,coleopterology,medium,medium
2469,beetle,"Is it possible that there are more than 350,000 species of beetles?",yes,hard,hard
2470,beetle,"Is it possible that there are more than 350,000 species of beetles?",yes,hard,hard
2472,beetle,Is the Adephaga suborder larger than the Polyphaga suborder?,yes,hard,hard
2473,beetle,Do carrion beetles eat dung?,no,hard,medium
2474,beetle,Do carrion beetles eat dung?,no,hard,hard
2475,beetle,What are prey of various animals including birds and mammals?,Beetles.,,easy
2476,beetle,What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera"".",,easy
2477,beetle,Who or what vary greatly in form within the coleoptera?,Antennae.,,easy
2478,beetle,Are many beetles territorial?,Yes.,,easy
2479,beetle,Are beetles endopterygotes with complete metamorphosis?,Yes.,,easy
2480,beetle,Oxygen is what?,One kind of gas obtained via a tracheal system.,,too hard
2481,beetle,Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Yes.,,easy
2482,beetle,Have coleopterists formed organisations to facilitate the study of beetles ?,Yes.,,easy
2483,beetle,"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",Yes.,,medium
2484,beetle,May a single female lay from several dozen to several thousand eggs during her lifetime ?,Yes.,,easy
2485,beetle,Can beetles be found in almost all habitats?,Yes.,,easy
2486,beetle,What happened on plants and fungi?,They are food to beetles.,,hard
2488,Calvin_Coolidge,Was Calvin Coolidge the twenty-ninth vice president?,Yes,easy,easy
2489,Calvin_Coolidge,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,easy,easy
2490,Calvin_Coolidge,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",Yes,easy,easy
2491,Calvin_Coolidge,Did Coolidge graduate from Black River Academy?,yes,easy,easy
2492,Calvin_Coolidge,Did Coolidge graduate from Black River Academy?,Yes,easy,easy
2493,Calvin_Coolidge,When did he drop John from his name?,upon graduating from college,medium,medium
2494,Calvin_Coolidge,When did he drop John from his name?,Upon graduating from college,medium,medium
2496,Calvin_Coolidge,When did Coolidge meet and marry Grace Anna Goodhue?,In 1905,medium,medium
2497,Calvin_Coolidge,What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties,medium,medium
2498,Calvin_Coolidge,What period of rapid economic growth did the United States experience during Coolidge's presidency?,"the ""Roaring Twenties""",medium,medium
2499,Calvin_Coolidge,What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, Massachusetts",hard,medium
2500,Calvin_Coolidge,What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, Massachusetts to take up the practice of law",hard,medium
2501,Calvin_Coolidge,Of what state was Coolidge governor?,Massachusetts,hard,medium
2502,Calvin_Coolidge,Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,hard,medium
2503,Calvin_Coolidge,Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,hard,hard
2505,Calvin_Coolidge,Was Coolidge the thirteenth President of the United States?,Yes,easy,easy
2506,Calvin_Coolidge,Was Calvin Coolidge Republican?,Yes,easy,easy
2507,Calvin_Coolidge,Was Calvin Coolidge Republican?,Yes,easy,easy
2508,Calvin_Coolidge,Was Calvin Coolidge a governor of Massachusetts?,Yes,easy,medium
2510,Calvin_Coolidge,When was Coolidge born?,July 4 1872,medium,medium
2511,Calvin_Coolidge,When was Coolidge born?,"Plymouth, Windsor County, Vermont",medium,easy
2513,Calvin_Coolidge,Where did Coolidge's grandfather had government offices?,The town of Plymouth Notch,medium,hard
2514,Calvin_Coolidge,Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont",medium,medium
2515,Calvin_Coolidge,Which state were Coolidge born in?,Vermont,medium,medium
2516,Calvin_Coolidge,Is Calvin Jr. older than John Coolidge?,No,hard,hard
2517,Calvin_Coolidge,Is Calvin Jr. older than John Coolidge?,No,hard,hard
2518,Calvin_Coolidge,Did Coolidge get in Amherst College?,Yes,hard,medium
2520,Calvin_Coolidge,What caused Calvin Jr.'s death?,heart attack,hard,hard
2521,Calvin_Coolidge,What caused Calvin Jr.'s death?,Heart attack,hard,easy
2522,Calvin_Coolidge,Was John Calvin Coolidge Jr. was born in Las Vegas?,No,easy,easy
2523,Calvin_Coolidge,Was John Calvin Coolidge Jr. was born in Las Vegas?,no,easy,easy
2524,Calvin_Coolidge,Was Coolidge opposed in the Republican nomination for Governor of Massachusetts in 1918?,Yes,easy,medium
